id,key,hint,name,tags,solved,hintUrl,category,createdAt,updatedAt,difficulty,description,disabledEnv,mitigationUrl,tutorialOrder,codingChallengeStatus
20,dbSchemaChallenge,Find out where this information could come from. Then craft a UNION SELECT attack string against an endpoint that offers an unnecessary way to filter data.,Database Schema,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/injection.html#_exfiltrate_the_entire_db_schema_definition_via_sql_injection,Injection,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,3,Exfiltrate the entire DB schema definition via SQL Injection.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,NULL,0
21,deprecatedInterfaceChallenge,The developers who disabled the interface think they could go invisible by just closing their eyes.,Deprecated Interface,"Contraption,Prerequisite",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/security-misconfiguration.html#_use_a_deprecated_b2b_interface_that_was_not_properly_shut_down,Security Misconfiguration,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,2,Use a deprecated B2B interface that was not properly shut down.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Web_Service_Security_Cheat_Sheet.html,NULL,0
22,easterEggLevelOneChallenge,"If you solved one of the three file access challenges, you already know where to find the easter egg.",Easter Egg,"Shenanigans,Contraption,Good for Demos",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_find_the_hidden_easter_egg,Broken Access Control,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,4,"Find the hidden <a href=""https://en.wikipedia.org/wiki/Easter_egg_(media)"" target=""_blank"">easter egg</a>.",NULL,NULL,NULL,0
23,emailLeakChallenge,Try to find and attack an endpoint that responds with user information. SQL Injection is not the solution here.,Email Leak,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_perform_an_unwanted_information_disclosure_by_accessing_data_cross_domain,Sensitive Data Exposure,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,5,Perform an unwanted information disclosure by accessing data cross-domain.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/XS_Leaks_Cheat_Sheet.html,NULL,0
24,emptyUserRegistration,Consider intercepting and playing with the request payload.,Empty User Registration,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/improper-input-validation.html#_register_a_user_account_with_an_empty_email_and_password,Improper Input Validation,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,2,Register a user with an empty email and password.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html,NULL,0
25,ephemeralAccountantChallenge,"Try to create the needed user ""out of thin air"".",Ephemeral Accountant,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/injection.html#_log_in_with_the_non_existing_accountant_without_ever_registering_that_user,Injection,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,4,Log in with the (non-existing) accountant <i>acc0unt4nt@juice-sh.op</i> without ever registering that user.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,NULL,0
26,errorHandlingChallenge,Try to submit bad input to forms. Alternatively tamper with URL paths or parameters.,Error Handling,Prerequisite,1,https://pwning.owasp-juice.shop/companion-guide/latest/part2/security-misconfiguration.html#_provoke_an_error_that_is_neither_very_gracefully_nor_consistently_handled,Security Misconfiguration,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:56:19.202 +00:00,1,Provoke an error that is neither very gracefully nor consistently handled.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Error_Handling_Cheat_Sheet.html,NULL,0
27,manipulateClockChallenge,Try to identify past special event or holiday campaigns of the shop first.,Expired Coupon,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/improper-input-validation.html#_successfully_redeem_an_expired_campaign_coupon_code,Improper Input Validation,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,4,Successfully redeem an expired campaign coupon code.,NULL,NULL,NULL,0
28,extraLanguageChallenge,"Brute force is not the only option for this challenge, but a perfectly viable one.",Extra Language,Brute Force,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-anti-automation.html#_retrieve_the_language_file_that_never_made_it_into_production,Broken Anti Automation,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,5,Retrieve the language file that never made it into production.,NULL,NULL,NULL,0
29,feedbackChallenge,"Once you found admin section of the application, this challenge is almost trivial.",Five-Star Feedback,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_get_rid_of_all_5_star_customer_feedback,Broken Access Control,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,2,Get rid of all 5-star customer feedback.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,NULL,0
30,forgedCouponChallenge,Try either a) a knowledgeable brute force attack or b) reverse engineering or c) some research in the cloud.,Forged Coupon,"Good for Demos,Code Analysis",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/cryptographic-issues.html#_forge_a_coupon_code_that_gives_you_a_discount_of_at_least_80,Cryptographic Issues,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,6,Forge a coupon code that gives you a discount of at least 80%.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html,NULL,0
31,forgedFeedbackChallenge,You can solve this by tampering with the user interface or by intercepting the communication with the RESTful backend.,Forged Feedback,Tutorial,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_post_some_feedback_in_another_users_name,Broken Access Control,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,3,Post some feedback in another user's name.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,8,0
32,forgedReviewChallenge,Observe the flow of product review posting and editing and see if you can exploit it.,Forged Review,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_post_a_product_review_as_another_user_or_edit_any_users_existing_review,Broken Access Control,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,3,Post a product review as another user or edit any user's existing review.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,NULL,0
33,jwtForgedChallenge,This challenge is explicitly not about acquiring the RSA private key used for JWT signing.,Forged Signed JWT,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/vulnerable-components.html#_forge_an_almost_properly_rsa_signed_jwt_token,Vulnerable Components,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,6,Forge an almost properly RSA-signed JWT token that impersonates the (non-existing) user <i>rsa_lord@juice-sh.op</i>.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/JSON_Web_Token_for_Java_Cheat_Sheet.html,NULL,0
34,forgottenDevBackupChallenge,You need to trick a security mechanism into thinking that the file you want has a valid file type.,Forgotten Developer Backup,"Contraption,Good for Demos,Prerequisite",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_access_a_developers_forgotten_backup_file,Sensitive Data Exposure,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,4,Access a developer's forgotten backup file.,NULL,NULL,NULL,0
35,forgottenBackupChallenge,You need to trick a security mechanism into thinking that the file you want has a valid file type.,Forgotten Sales Backup,Contraption,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_access_a_salesmans_forgotten_backup_file,Sensitive Data Exposure,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,4,Access a salesman's forgotten backup file.,NULL,NULL,NULL,0
36,typosquattingAngularChallenge,This challenge has nothing to do with mistyping web domains. There is no conveniently misplaced file helping you with this one either. Or is there?,Frontend Typosquatting,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/vulnerable-components.html#_inform_the_shop_about_a_typosquatting_imposter_that_dug_itself_deep_into_the_frontend,Vulnerable Components,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,5,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> imposter that dug itself deep into the frontend. (Mention the exact name of the culprit)",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerable_Dependency_Management_Cheat_Sheet.html,NULL,0
37,ghostLoginChallenge,"Turns out that something is technically and legally wrong with the implementation of the ""right to be forgotten"" for users.",GDPR Data Erasure,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-authentication.html#_log_in_with_chris_erased_user_account,Broken Authentication,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,3,Log in with Chris' erased user account.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/User_Privacy_Protection_Cheat_Sheet.html,NULL,0
38,dataExportChallenge,Trick the regular Data Export to give you more than actually belongs to you.,GDPR Data Theft,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_steal_someone_elses_personal_data_without_using_injection,Sensitive Data Exposure,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,4,Steal someone else's personal data without using Injection.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/User_Privacy_Protection_Cheat_Sheet.html,NULL,0
39,httpHeaderXssChallenge,Finding a piece of displayed information that could originate from an HTTP header is part of this challenge.,HTTP-Header XSS,Danger Zone,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/xss.html#_perform_a_persisted_xss_attack_through_an_http_header,XSS,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,4,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> through an HTTP header. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0
40,continueCodeChallenge,You need to trick the hacking progress persistence feature into thinking you solved challenge #999.,Imaginary Challenge,"Shenanigans,Code Analysis",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/cryptographic-issues.html#_solve_challenge_999,Cryptographic Issues,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,6,"Solve challenge #999. Unfortunately, this challenge does not exist.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html,NULL,0
41,dlpPasswordSprayingChallenge,"Once you have it, a technique called ""Password Spraying"" might prove useful.",Leaked Access Logs,OSINT,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_dumpster_dive_the_internet_for_a_leaked_password_and_log_in_to_the_original_user_account_it_belongs_to,Sensitive Data Exposure,2024-07-02 07:39:14.017 +00:00,2024-07-02 07:39:14.017 +00:00,5,Dumpster dive the Internet for a leaked password and log in to the original user account it belongs to. (Creating a new account with the same password does not qualify as a solution.),NULL,https://cheatsheetseries.owasp.org/cheatsheets/Credential_Stuffing_Prevention_Cheat_Sheet.html,NULL,0
42,dlpPastebinDataLeakChallenge,Your own SQLi and someone else's Ctrl-V will be your accomplices in this challenge!,Leaked Unsafe Product,"Shenanigans,OSINT",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_identify_an_unsafe_product_that_was_removed_from_the_shop_and_inform_the_shop_which_ingredients_are_dangerous,Sensitive Data Exposure,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,4,"Identify an unsafe product that was removed from the shop and <a href=""/#/contact"">inform the shop</a> which ingredients are dangerous.",NULL,NULL,NULL,0
43,typosquattingNpmChallenge,This challenge has nothing to do with mistyping web domains. Investigate the forgotten developer's backup file instead.,Legacy Typosquatting,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/vulnerable-components.html#_inform_the_shop_about_a_typosquatting_trick_it_has_been_a_victim_of,Vulnerable Components,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,4,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> trick it has been a victim of at least in <code>v6.2.0-SNAPSHOT</code>. (Mention the exact name of the culprit)",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerable_Dependency_Management_Cheat_Sheet.html,NULL,0
44,loginAdminChallenge,Try different SQL Injection attack patterns depending whether you know the admin's email address or not.,Login Admin,"Tutorial,Good for Demos",1,https://pwning.owasp-juice.shop/companion-guide/latest/part2/injection.html#_log_in_with_the_administrators_user_account,Injection,2024-07-02 07:39:14.018 +00:00,2024-07-02 08:01:53.199 +00:00,2,Log in with the administrator's user account.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,5,0
45,loginAmyChallenge,This challenge will make you go after a needle in a haystack.,Login Amy,OSINT,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_log_in_with_amys_original_user_credentials,Sensitive Data Exposure,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,3,"Log in with Amy's original user credentials. (This could take 93.83 billion trillion trillion centuries to brute force, but luckily she did not read the ""One Important Final Note"")",NULL,NULL,NULL,0
46,loginBenderChallenge,"If you know Bender's email address, try SQL Injection. Bender's password hash might not help you very much.",Login Bender,Tutorial,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/injection.html#_log_in_with_benders_user_account,Injection,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,3,Log in with Bender's user account.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,10,0
47,oauthUserPasswordChallenge,The security flaw behind this challenge is 100% OWASP Juice Shop's fault and 0% Google's.,Login Bjoern,Code Analysis,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-authentication.html#_log_in_with_bjoerns_gmail_account,Broken Authentication,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,4,"Log in with Bjoern's Gmail account <i>without</i> previously changing his password, applying SQL Injection, or hacking his Google account.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,NULL,0
48,loginJimChallenge,"Try cracking Jim's password hash if you harvested it already. Alternatively, if you know Jim's email address, try SQL Injection.",Login Jim,Tutorial,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/injection.html#_log_in_with_jims_user_account,Injection,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,3,Log in with Jim's user account.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,9,0
49,loginRapperChallenge,"You should listen to MC's hit song ""Protect Ya Passwordz"".",Login MC SafeSearch,"Shenanigans,OSINT",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_log_in_with_mc_safesearchs_original_user_credentials,Sensitive Data Exposure,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,2,Log in with MC SafeSearch's original user credentials without applying SQL Injection or any other bypass.,NULL,NULL,NULL,0
50,loginSupportChallenge,The underlying flaw of this challenge is a lot more human error than technical weakness.,Login Support Team,"Brute Force,Code Analysis",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/security-misconfiguration.html#_log_in_with_the_support_teams_original_user_credentials,Security Misconfiguration,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,6,Log in with the support team's original user credentials without applying SQL Injection or any other bypass.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,NULL,0
51,basketManipulateChallenge,Have an eye on the HTTP traffic while placing products in the shopping basket. Changing the quantity of products already in the basket doesn't count.,Manipulate Basket,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_put_an_additional_product_into_another_users_shopping_basket,Broken Access Control,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,3,Put an additional product into another user's shopping basket.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,NULL,0
52,misplacedSignatureFileChallenge,You need to trick a security mechanism into thinking that the file you want has a valid file type.,Misplaced Signature File,"Good Practice,Contraption",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_access_a_misplaced_siem_signature_file,Sensitive Data Exposure,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,4,"Access a misplaced <a href=""https://github.com/Neo23x0/sigma"">SIEM signature</a> file.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html,NULL,0
53,timingAttackChallenge,Punctuality is the politeness of kings.,Multiple Likes,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-anti-automation.html#_like_any_review_at_least_three_times_as_the_same_user,Broken Anti Automation,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,6,Like any review at least three times as the same user.,NULL,NULL,NULL,0
54,easterEggLevelTwoChallenge,You might have to peel through several layers of tough-as-nails encryption for this challenge.,Nested Easter Egg,"Shenanigans,Good for Demos",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/cryptographic-issues.html#_apply_some_advanced_cryptanalysis_to_find_the_real_easter_egg,Cryptographic Issues,2024-07-02 07:39:14.018 +00:00,2024-07-02 07:39:14.018 +00:00,4,Apply some advanced cryptanalysis to find <i>the real</i> easter egg.,NULL,NULL,NULL,0
